etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
196    | #ˌululˈɑː# | *#ullˈɑ# | *#ulˈɑ# | *#ulˈɑ# {GOLD: #urlˈa#}
197    | #wˌeːssˈiːkɑm# | *#esˈikɑ# | *#eʃˈikə# | *#eʃˈikə# {GOLD: #bəʃˈikə#}
198    | #wˈiskum# | *#ˈesku# | *#ˈesku# | *#ˈesk# {GOLD: #vˈɨsk#}
199    | #wˈiːtrikus# | *#ˈitreku# | *#jˈitɾeku# | *#ˈitrek# {GOLD: #vˈitreɡ#}
200    | #fˈeːtus# | *#fˈetu# | *#fˈetu# | *#fˈət# {GOLD: #fˈət#}
201    | #fˈeːta# | *#fˈeta# | *#fe̯ˈatə# | *#fˈatə# {GOLD: #fˈatə#}
202    | #jˈuwenis# | *#d͡ʒˈueni# | *#d͡ʒˈueɲi# | *#ʒˈuij̊# {GOLD: #ʒˈune#}
203    | #jˈuwenem# | *#d͡ʒˈuene# | *#d͡ʒˈuene# | *#ʒˈuine# {GOLD: #ʒˈune#}
204    | #mˈaskulum# | *#mˈaskulu# | *#mˈaskuɾu# | *#mˈaskur# {GOLD: #mˈaskur#}
205    | #nˈaːtum# | *#nˈatu# | *#nˈatu# | *#nˈat# {GOLD: #nˈat#}
206    | #tˈenerum# | *#tˈɛneru# | *#t͡sˈeneɾu# | *#t͡sˈiner# {GOLD: #tˈɨnər#}
207    | #wˌeterˈaːnum# | *#eterˈanu# | *#eteɾˈənu# | *#eterˈɨn# {GOLD: #bətrˈɨn#}
208    | #kˈorpus# | *#kˈorpu# | *#kˈoɾpu# | *#kˈorp# {GOLD: #kˈorp#}
209    | #stˈaːtum# | *#stˈatu# | *#stˈatu# | *#stˈat# {GOLD: #stˈat#}
210    | #bˈarba# | *#bˈarba# | *#bˈaɾbə# | *#bˈarbə# {GOLD: #bˈarbə#}
211    | #bˈukkam# | *#bˈuka# | *#bˈukə# | *#bˈukə# {GOLD: #bˈukə#}
212    | #kˌapitˈiːnam# | *#kapetˈina# | *#kəpet͡sˈinə# | *#kəpet͡sˈinə# {GOLD: #kəpət͡sˈɨnə#}
213    | #kˌerˈebrum# | *#t͡ʃerˈɛwru# | *#t͡ʃe?0ˈewɾu# | *#t͡ʃe?1ˈewr# {GOLD: #krˈejer#}
214    | #dˈentem# | *#dˈɛnte# | *#dˈente# | *#dˈinte# {GOLD: #dˈinte#}
215    | #flˈokkum# | *#flˈoku# | *#flˈoku# | *#flˈok# {GOLD: #flˈok#}
216    | #frˈontem# | *#frˈonte# | *#fɾˈonte# | *#frˈonte# {GOLD: #frˈunte#}
217    | #ɡˈenae̯# | *#d͡ʒˈɛnae̯# | *#d͡ʒˈenəe̯# | *#d͡ʒˈinəe̯# {GOLD: #d͡ʒe̯ˈanə#}
218    | #ɡˌinɡˈiːwa# | *#d͡ʒend͡ʒˈia# | *#d͡ʒend͡ʒˈia# | *#d͡ʒind͡ʒˈia# {GOLD: #d͡ʒind͡ʒˈije#}
219    | #ɡˈula# | *#ɡˈula# | *#ɡˈuɾə# | *#ɡˈurə# {GOLD: #ɡˈurə#}
220    | #lˈinɡwam# | *#lˈemba# | *#lˈembə# | *#lˈimbə# {GOLD: #lˈimbə#}
221    | #mˌaːksˈillam# | *#masˈella# | *#məse̯ˈawə# | *#məse̯ˈawə# {GOLD: #məse̯ˈa#}
222    | #nˈaːreːs# | *#nˈare# | *#nˈaɾe# | *#nˈare# {GOLD: #nˈərj#}
223    | #nˈaːriːs# | *#nˈari# | *#nˈa?0i# | *#nˈa?1j̊# {GOLD: #nˈərj#}
224    | #nˈaːsum# | *#nˈasu# | *#nˈasu# | *#nˈas# {GOLD: #nˈas#}
225    | #pˌalˈaːtum# | *#palˈatu# | *#pəɾˈatu# | *#pərˈat# {GOLD: #pərˈat͡s#}
226    | #rˈoːstrum# | *#rˈostru# | *#rrˈostɾu# | *#rˈostrw̍# {GOLD: #rˈost#}
227    | #tˈestam# | *#tˈɛsta# | *#t͡se̯ˈastə# | *#t͡sˈastə# {GOLD: #t͡se̯ˈastə#}
228    | #kˌerwˈiːkem# | *#t͡ʃerˈit͡ʃe# | *#t͡ʃe?0ˈit͡ʃe# | *#t͡ʃe?1ˈit͡ʃe# {GOLD: #t͡ʃerbˈit͡ʃe#}
229    | #ˈanimam# | *#ˈanma# | *#ˈanmə# | *#ˈanmə# {GOLD: #ˈinimə#}
230    | #kˌatˈeːna# | *#katˈena# | *#kətˈenə# | *#kətˈinə# {GOLD: #kətˈinə#}
231    | #kˈoːleum# | *#kˈold͡ʒu# | *#kˈold͡ʒu# | *#kˈolʒ# {GOLD: #kˈoj#}
232    | #kˈostam# | *#kˈosta# | *#ko̯ˈastə# | *#ko̯ˈastə# {GOLD: #ko̯ˈastə#}
233    | #kˈuːlum# | *#kˈulu# | *#kˈuɾu# | *#kˈur# {GOLD: #kˈur#}
234    | #fˌiːkˈaːtum# | *#fikˈatu# | *#fekˈatu# | *#fəkˈat# {GOLD: #fikˈat#}
235    | #hˈumerum# | *#ˈumeru# | *#ˈumeɾu# | *#ˈumər# {GOLD: #ˈumər#}
236    | #mˈatiam# | *#mˈad͡za# | *#mˈad͡zə# | *#mˈazə# {GOLD: #mˈat͡s#}
237    | #mˌinuːtˈalia# | *#menutˈald͡ʒa# | *#menutˈald͡ʒə# | *#mɨnutˈald͡ʒə# {GOLD: #məruntˈaje#}
238    | #mˈuːskulus# | *#mˈuskulu# | *#mˈuskuɾu# | *#mˈuskur# {GOLD: #mˈuʃkj#}
239    | #pˈiskem# | *#pˈest͡ʃe# | *#pe̯ˈaʃt͡ʃe# | *#pˈaʃt͡ʃe# {GOLD: #pˈeʃte#}
240    | #rˈeːnam# | *#rˈena# | *#rrˈenə# | *#rˈɨnə# {GOLD: #rˈɨnə#}
241    | #rˌeːnˈikulus# | *#renˈekulu# | *#rrenˈekuɾu# | *#rɨnˈekur# {GOLD: #rinˈikj#}
242    | #rˌenˈunkulus# | *#renˈunkulu# | *#rrenˈunkuɾu# | *#rɨnˈunkur# {GOLD: #rərˈunkj#}
243    | #sˈinum# | *#sˈenu# | *#sˈenu# | *#sˈin# {GOLD: #sˈɨn#}
244    | #spˌiːnˈaːlem# | *#spinˈale# | *#spenˈaɾe# | *#spɨnˈare# {GOLD: #spinˈare#}
245    | #splˈeːnam# | *#splˈena# | *#splˈenə# | *#splˈinə# {GOLD: #splˈinə#}
246    | #sˌubˈaːlam# | *#suɡˈala# | *#suɡˈaɾə# | *#suɡˈarə# {GOLD: #suo̯ˈarə#}
247    | #tˈitiam# | *#tˈed͡za# | *#te̯ˈad͡zə# | *#te̯ˈazə# {GOLD: #t͡sˈɨt͡sə#}
248    | #trˈunkulum# | *#trˈunkulu# | *#tɾˈunkuɾu# | *#trˈunkur# {GOLD: #trˈunkj#}
249    | #ˌumbilˈiːkus# | *#umbelˈiku# | *#umbe?0ˈiku# | *#umbe?1ˈik# {GOLD: #burˈik#}
250    | #wˌenˈeːnum# | *#enˈenu# | *#enˈenu# | *#inˈin# {GOLD: #venˈin#}
251    | #wˈentrem# | *#ˈɛntre# | *#ˈentɾe# | *#ˈintre# {GOLD: #vˈintre#}
252    | #ˈarmum# | *#ˈarmu# | *#ˈaɾmu# | *#ˈarm# {GOLD: #ˈarm#}
253    | #brˈakʰkʰium# | *#brˈakd͡ʒu# | *#bɾˈakd͡ʒu# | *#brˈakʒ# {GOLD: #brˈat͡s#}
254    | #kˌalkˈaːneum# | *#kalkˈand͡ʒu# | *#kəlkˈand͡ʒu# | *#kəlkˈanʒ# {GOLD: #kəlkˈɨj#}
255    | #kˈubitum# | *#kˈuetu# | *#kˈuetu# | *#kˈuet# {GOLD: #kˈot#}
256    | #dˈiɡitus# | *#dˈed͡ʒetu# | *#de̯ˈad͡ʒetu# | *#dˈed͡ʒet# {GOLD: #dˈed͡ʒet#}
257    | #dˌiːrˈeːktum# | *#dirˈeptu# | *#deɾˈeptu# | *#derˈept# {GOLD: #drˈept#}
258    | #ɡˌenˈukulum# | *#d͡ʒenˈukulu# | *#d͡ʒenˈukuɾu# | *#d͡ʒinˈukur# {GOLD: #d͡ʒenˈunkj#}
259    | #mˈanum# | *#mˈanu# | *#mˈənu# | *#mˈɨn# {GOLD: #mˈɨnə#}
260    | #mˈanam# | *#mˈana# | *#mˈənə# | *#mˈɨnə# {GOLD: #mˈɨnə#}
261    | #pˈalmam# | *#pˈalma# | *#pˈalmə# | *#pˈalmə# {GOLD: #pˈalmə#}
262    | #pˌetiˈolum# | *#ped͡ʒˈolu# | *#ped͡ʒˈoɾu# | *#pəʒˈor# {GOLD: #pit͡ʃˈor#}
263    | #pˈulpam# | *#pˈulpa# | *#pˈulpə# | *#pˈulpə# {GOLD: #pˈulpə#}
264    | #ˈunɡulam# | *#ˈunɡula# | *#ˈunɡuɾə# | *#ˈunɡurə# {GOLD: #ˈunɡje#}
265    | #kˈarnem# | *#kˈarne# | *#kˈaɾne# | *#kˈarne# {GOLD: #kˈarne#}
266    | #mˌedˈullam# | *#medˈulla# | *#medˈuvə# | *#mədˈuvə# {GOLD: #mədˈuvə#}
267    | #ˈossum# | *#ˈosu# | *#ˈosu# | *#ˈos# {GOLD: #ˈos#}
268    | #pˈellem# | *#pˈɛlle# | *#pje̯ˈale# | *#pjˈele# {GOLD: #pjˈele#}
269    | #ˌawdˈiː# | *#adˈi# | *#ad͡zˈi# | *#azj̊# {GOLD: #awzˈi#}
270    | #ˌaskultˈaː# | *#askultˈa# | *#askultˈa# | *#askultˈa# {GOLD: #askultˈa#}
271    | #kˌirkˈaː# | *#t͡ʃerkˈa# | *#t͡ʃeɾkˈa# | *#t͡ʃerkˈa# {GOLD: #t͡ʃerkˈa#}
272    | #ɡˌustˈaː# | *#ɡustˈa# | *#ɡustˈa# | *#ɡustˈa# {GOLD: #ɡustˈa#}
273    | #ɡˈustum# | *#ɡˈustu# | *#ɡˈustu# | *#ɡˈust# {GOLD: #ɡˈust#}
274    | #sˌentˈiː# | *#sentˈi# | *#sent͡sˈi# | *#sint͡sj̊# {GOLD: #simt͡sˈi#}
275    | #wˌidˈeː# | *#edˈe# | *#edˈe# | *#edˈe# {GOLD: #vede̯ˈa#}
276    | #stˌernuːtˈaː# | *#sternutˈa# | *#steɾnutˈa# | *#sternutˈa# {GOLD: #strənutˈa#}
277    | #sˌufflˈaː# | *#suflˈa# | *#suflˈa# | *#suflˈa# {GOLD: #suflˈa#}
278    | #ˌassudˈaː# | *#asudˈa# | *#asudˈa# | *#asudˈa# {GOLD: #asudˈa#}
279    | #kˌakˈaː# | *#kakˈa# | *#kəkˈa# | *#kəkˈa# {GOLD: #kəkˈa#}
280    | #fˈamem# | *#fˈame# | *#fˈəme# | *#fˈəme# {GOLD: #fo̯ˈame#}
281    | #ˌinɡlˌuttˈiː# | *#enɡlutˈi# | *#enɡʎut͡sˈi# | *#inɡjut͡sj̊# {GOLD: #ɨnɡit͡sˈi#}
282    | #ˌintˈinɡe# | *#entˈend͡ʒe# | *#entˈend͡ʒe# | *#intˈind͡ʒe# {GOLD: #ɨntˈind͡ʒe#}
283    | #lˈaːkrima# | *#lˈaprema# | *#lˈapɾemə# | *#lˈaprimə# {GOLD: #lˈakrimə#}
284    | #mˈuːkkus# | *#mˈuku# | *#mˈuku# | *#mˈuk# {GOLD: #mˈuk#}
285    | #sˌatˈullum# | *#satˈullu# | *#sətˈulu# | *#sətˈul# {GOLD: #sətˈul#}
286    | #sˌaturˈaː# | *#saturˈa# | *#sətuɾˈa# | *#səturˈa# {GOLD: #səturˈa#}
287    | #sˌorbˈeː# | *#sorbˈe# | *#suɾbˈe# | *#surbˈe# {GOLD: #sorbˈi#}
288    | #sˌuːdˈoːrem# | *#sudˈore# | *#sudo̯ˈaɾe# | *#sudo̯ˈare# {GOLD: #sudo̯ˈare#}
289    | #sˈuːɡe# | *#sˈud͡ʒe# | *#sˈud͡ʒe# | *#sˈud͡ʒe# {GOLD: #sˈud͡ʒe#}
290    | #kˌoːnstˈaː# | *#kostˈa# | *#kustˈa# | *#kustˈa# {GOLD: #kustˈa#}
291    | #fˌaktˈuːram# | *#fastˈura# | *#fəstˈuɾə# | *#fɨstˈurə# {GOLD: #fəptˈurə#}
292    | #fˈie# | *#fjˈe# | *#fjˈe# | *#fjˈe# {GOLD: #fˈi#}
293    | #lˌapidˈaː# | *#lapedˈa# | *#ləpedˈa# | *#ləpədˈa# {GOLD: #ləpədˈa#}
294    | #nˈaːske# | *#nˈast͡ʃe# | *#nˈaʃt͡ʃe# | *#nˈaʃt͡ʃe# {GOLD: #nˈaʃte#}
295    | #wˈiwum# | *#ˈeu# | *#ˈeu# | *#ˈe# {GOLD: #vˈiw#}
296    | #wˈiːwe# | *#ˈie# | *#jˈie# | *#ˈie# {GOLD: #vˈije#}
297    | #kˌastiːɡˈaː# | *#kastiɡˈa# | *#kəsteɡˈa# | *#kɨsteɡˈa# {GOLD: #kɨʃtiɡˈa#}
298    | #krˈeːske# | *#krˈest͡ʃe# | *#kɾe̯ˈaʃt͡ʃe# | *#krˈeʃt͡ʃe# {GOLD: #krˈeʃte#}
299    | #dˌormˈiː# | *#dormˈi# | *#duɾmjˈi# | *#durmj̊# {GOLD: #dormˈi#}
300    | #dˌormiːtˈaː# | *#dormitˈa# | *#duɾmetˈa# | *#durmətˈa# {GOLD: #dormitˈa#}
301    | #mˌanˈeː# | *#manˈe# | *#mənˈe# | *#mɨnˈe# {GOLD: #mɨne̯ˈa#}
302    | #mˌaːnikˈaː# | *#manekˈa# | *#mənekˈa# | *#mɨnekˈa# {GOLD: #mɨnekˈa#}
303    | #rˌepˌawsˈaː# | *#repasˈa# | *#rrepəsˈa# | *#rəpəsˈa# {GOLD: #rəposˈa#}
304    | #sˈomnum# | *#sˈomnu# | *#sˈomnu# | *#sˈomn# {GOLD: #sˈomn#}
305    | #wˌiɡilˈaː# | *#ed͡ʒelˈa# | *#ed͡ʒeɾˈa# | *#ed͡ʒerˈa# {GOLD: #veɡe̯ˈa#}
306    | #wˈiːsum# | *#ˈisu# | *#jˈisu# | *#ˈis# {GOLD: #vˈis#}
307    | #ˌekskˌaldˈaː# | *#skaldˈa# | *#skəldˈa# | *#skəldˈa# {GOLD: #skəldˈa#}
308    | #lˌawˈaː# | *#laˈa# | *#ləˈa# | *#ləˈa# {GOLD: #lˈa#}
309    | #pˌaːɡˈaːnus# | *#paɡˈanu# | *#pəɡˈənu# | *#pəɡˈɨn# {GOLD: #pəɡˈɨn#}
310    | #pˌektinˈaː# | *#pstenˈa# | *#pstenˈa# | *#pstinˈa# {GOLD: #pjeptənˈa#}
311    | #spˌurkˈaː# | *#spurkˈa# | *#spuɾkˈa# | *#spurkˈa# {GOLD: #spurkˈa#}
312    | #blˈandus# | *#blˈandu# | *#blˈandu# | *#blˈand# {GOLD: #blˈɨnd#}
313    | #blˌandˈitiem# | *#blandˈed͡ze# | *#blənde̯ˈad͡ze# | *#blɨndˈeze# {GOLD: #blɨndˈet͡se#}
314    | #kˌommittˈeː# | *#kometˈe# | *#kumetˈe# | *#kumetˈe# {GOLD: #kumetˈa#}
315    | #kˈompitum# | *#kˈompetu# | *#kˈompetu# | *#kˈompət# {GOLD: #kˈumpət#}
316    | #kottizˈaː# | *#kotezˈa# | *#kutezˈa# | *#kutezˈa# {GOLD: #kutezˈa#}
317    | #dolˈeː# | *#dolˈe# | *#duɾˈe# | *#durˈe# {GOLD: #dure̯ˈa#}
318    | #dˈolum# | *#dˈolu# | *#dˈoɾu# | *#dˈor# {GOLD: #dˈor#}
319    | #fˌeːlˈiːkem# | *#felˈit͡ʃe# | *#fe?0ˈit͡ʃe# | *#fe?1ˈit͡ʃe# {GOLD: #ferˈit͡ʃe#}
320    | #ˌindˌuːrˈaː# | *#endurˈa# | *#enduɾˈa# | *#indurˈa# {GOLD: #ɨndurˈa#}
321    | #ˌintˌerritˈaː# | *#enterretˈa# | *#enterretˈa# | *#interətˈa# {GOLD: #ɨntərɨtˈa#}
322    | #ˌinwiːtˈaː# | *#enitˈa# | *#enetˈa# | *#inetˈa# {GOLD: #ɨnvitˈa#}
323    | #mˈalum# | *#mˈalu# | *#mˈaɾu# | *#mˈar# {GOLD: #mˈar#}
324    | #mˈania# | *#mˈand͡ʒa# | *#mˈand͡ʒə# | *#mˈand͡ʒə# {GOLD: #mɨnˈije#}
325    | #miːrˈaː# | *#mirˈa# | *#meɾˈa# | *#mərˈa# {GOLD: #mirˈa#}
326    | #mˌiserˈeːre# | *#meserˈere# | *#meseɾe̯ˈaɾe# | *#meserˈere# {GOLD: #meserˈere#}
327    | #mˌoːnstrˈaː# | *#mostrˈa# | *#mustɾˈa# | *#mustrˈa# {GOLD: #mustrˈa#}
328    | #pˌakˈaː# | *#pakˈa# | *#pəkˈa# | *#pəkˈa# {GOLD: #pəkˈa#}
329    | #pˌae̯nitˈaː# | *#pae̯netˈa# | *#pəe̯netˈa# | *#pəe̯netˈa# {GOLD: #pənətˈa#}
330    | #pˌatˈiː# | *#patˈi# | *#pət͡sˈi# | *#pət͡sj̊# {GOLD: #pət͡sˈi#}
331    | #pˌensˈaː# | *#pesˈa# | *#pesˈa# | *#pəsˈa# {GOLD: #pəsˈa#}
332    | #piɡritˈaːriː# | *#peɡretˈari# | *#peɡɾetˈa?0i# | *#peɡretˈa?1j̊# {GOLD: #pred͡ʒetˈa#}
333    | #plaːkˈeː# | *#plat͡ʃˈe# | *#plət͡ʃˈe# | *#plət͡ʃˈe# {GOLD: #plət͡ʃe̯ˈa#}
334    | #planɡˈeː# | *#pland͡ʒˈe# | *#plənd͡ʒˈe# | *#plɨnd͡ʒˈe# {GOLD: #plɨnd͡ʒˈe#}
335    | #rˈiːde# | *#rˈide# | *#rrjˈide# | *#rˈide# {GOLD: #rˈɨde#}
336    | #rˈisum# | *#rˈesu# | *#rrˈesu# | *#rˈəs# {GOLD: #rˈɨs#}
337    | #sufferˈiː# | *#suferˈi# | *#sufe?0ˈi# | *#sufe?1j̊# {GOLD: #suferˈi#}
338    | #superˈaː# | *#superˈa# | *#supeɾˈa# | *#supərˈa# {GOLD: #supərˈa#}
339    | #suspiːrˈaː# | *#suspirˈa# | *#suspeɾˈa# | *#suspərˈa# {GOLD: #suspinˈa#}
340    | #timˈeː# | *#temˈe# | *#temˈe# | *#timˈe# {GOLD: #temˈe#}
341    | #timˈoːrem# | *#temˈore# | *#temo̯ˈaɾe# | *#timo̯ˈare# {GOLD: #temo̯ˈare#}
342    | #tremulˈaː# | *#tremlˈa# | *#tɾemlˈa# | *#trimlˈa# {GOLD: #tremurˈa#}
343    | #trˈiːstis# | *#trˈisti# | *#t?0ˈist͡si# | *#t?1ˈist͡sj̊# {GOLD: #trˈist#}
344    | #turbˈaː# | *#turbˈa# | *#tuɾbˈa# | *#turbˈa# {GOLD: #turbˈa#}
345    | #turbulˈaː# | *#turbulˈa# | *#tuɾbuɾˈa# | *#turburˈa# {GOLD: #tulburˈa#}
346    | #wirtˈuːtem# | *#ertˈute# | *#eɾtˈute# | *#ertˈute# {GOLD: #vɨrtˈute#}
347    | #kˌirkitˈaː# | *#t͡ʃert͡ʃetˈa# | *#t͡ʃeɾt͡ʃetˈa# | *#t͡ʃert͡ʃetˈa# {GOLD: #t͡ʃert͡ʃetˈa#}
348    | #kˌoːɡitˈaː# | *#kod͡ʒetˈa# | *#kud͡ʒetˈa# | *#kud͡ʒetˈa# {GOLD: #kud͡ʒetˈa#}
349    | #kˌoɡnˈoːske# | *#konnˈost͡ʃe# | *#kunno̯ˈaʃt͡ʃe# | *#kuno̯ˈaʃt͡ʃe# {GOLD: #kuno̯ˈaʃte#}
350    | #krˈeːde# | *#krˈede# | *#kɾe̯ˈade# | *#krˈede# {GOLD: #krˈede#}
351    | #ˌintˌelleːktiˈoːnem# | *#entellesd͡ʒˈone# | *#entelesd͡ʒˈune# | *#intelesʒˈune# {GOLD: #ɨnt͡selept͡ʃˈune#}
352    | #ˌintˌellˈeːktum# | *#entellˈeptu# | *#entelˈeptu# | *#intelˈept# {GOLD: #ɨnt͡selˈept#}
353    | #ˌintˌellˈiɡe# | *#entellˈed͡ʒe# | *#entele̯ˈad͡ʒe# | *#intelˈed͡ʒe# {GOLD: #ɨnt͡selˈed͡ʒe#}
354    | #juːdikˈaː# | *#d͡ʒudekˈa# | *#d͡ʒudekˈa# | *#ʒudekˈa# {GOLD: #ʒudekˈa#}
355    | #mˈentem# | *#mˈɛnte# | *#mˈente# | *#mˈinte# {GOLD: #mˈinte#}
356    | #mentiˈoːnem# | *#mend͡ʒˈone# | *#mend͡ʒˈune# | *#mɨnʒˈune# {GOLD: #mint͡ʃˈunə#}
357    | #mentˈiːriː# | *#mentˈiri# | *#ment͡sˈi?0i# | *#mint͡sˈi?1j̊# {GOLD: #mint͡sˈi#}
358    | #parˈeː# | *#parˈe# | *#pəɾˈe# | *#pərˈe# {GOLD: #pəre̯ˈa#}
359    | #perkˈipe# | *#pert͡ʃˈepe# | *#peɾt͡ʃe̯ˈape# | *#pərt͡ʃˈepe# {GOLD: #prit͡ʃˈepe#}
360    | #skˈiː# | *#st͡ʃˈi# | *#ʃt͡ʃˈi# | *#ʃt͡ʃj̊# {GOLD: #ʃtˈi#}
361    | #sˌanitˈoːsum# | *#sanetˈosu# | *#sənetˈosu# | *#sɨnetˈos# {GOLD: #sənətˈos#}
362    | #wˌindikˈaː# | *#endekˈa# | *#endekˈa# | *#indekˈa# {GOLD: #vindekˈa#}
363    | #wˌirtuˈoːsum# | *#ertˈosu# | *#eɾtˈosu# | *#ertˈos# {GOLD: #vɨrtˈos#}
364    | #ˌarˈaneam# | *#arˈand͡ʒa# | *#aɾˈand͡ʒə# | *#arˈand͡ʒə# {GOLD: #rˈɨje#}
365    | #kˈae̯kia# | *#kˈae̯d͡ʒa# | *#kˈae̯d͡ʒə# | *#kˈae̯d͡ʒə# {GOLD: #t͡ʃe̯ˈat͡sə#}
366    | #katˈellum# | *#katˈɛllu# | *#kət͡sˈelu# | *#kət͡sˈel# {GOLD: #kət͡sˈel#}
367    | #kˈossis# | *#kˈosi# | *#kˈoʃi# | *#kˈoʃj̊# {GOLD: #kˈoʃ#}
368    | #kˈyma# | *#t͡ʃˈema# | *#t͡ʃˈemə# | *#t͡ʃˈimə# {GOLD: #t͡ʃˈumə#}
369    | #dˌoloːrˈoːsus# | *#dolorˈosu# | *#duɾuɾˈosu# | *#dururˈos# {GOLD: #dururˈos#}
370    | #fˈebrem# | *#fˈɛwre# | *#fje̯ˈawɾe# | *#fjˈewre# {GOLD: #fjˈor#}
371    | #frˈiːɡora# | *#frˈiɡora# | *#f?0ˈiɡuɾə# | *#f?1ˈiɡurə# {GOLD: #frˈiɡurj#}
372    | #ɡˈeme# | *#d͡ʒˈɛme# | *#d͡ʒˈeme# | *#d͡ʒˈime# {GOLD: #d͡ʒˈeme#}
373    | #ɡˈemitum# | *#d͡ʒˈɛmetu# | *#d͡ʒˈemetu# | *#d͡ʒˈimət# {GOLD: #d͡ʒe̯ˈamət#}
374    | #ɡˈuttam# | *#ɡˈuta# | *#ɡˈutə# | *#ɡˈutə# {GOLD: #ɡˈutə#}
375    | #jˌakˈeː# | *#d͡ʒat͡ʃˈe# | *#d͡ʒət͡ʃˈe# | *#d͡ʒət͡ʃˈe# {GOLD: #zət͡ʃe̯ˈa#}
376    | #jˌakˈeː# | *#d͡ʒat͡ʃˈe# | *#d͡ʒət͡ʃˈe# | *#d͡ʒət͡ʃˈe# {GOLD: #d͡ʒət͡ʃe̯ˈa#}
377    | #lˌae̯sionˈaː# | *#lae̯sd͡ʒonˈa# | *#ləe̯sd͡ʒunˈa# | *#ləe̯sʒunˈa# {GOLD: #leʃinˈa#}
378    | #lˌanɡwˈeːskoː# | *#land͡ʒˈesko# | *#lənd͡ʒˈesku# | *#lɨnd͡ʒˈesk# {GOLD: #lɨnd͡ʒˈesk#}
379    | #lˈanɡwidus# | *#lˈand͡ʒedu# | *#lˈand͡ʒedu# | *#lˈand͡ʒed# {GOLD: #lˈɨnt͡ʃed#}
380    | #lˌanɡwˈoːrem# | *#lanɡˈore# | *#lənɡo̯ˈaɾe# | *#lɨnɡo̯ˈare# {GOLD: #lɨnɡo̯ˈare#}
381    | #morˈiːriː# | *#morˈiri# | *#mu?0ˈi?0i# | *#mu?1ˈi?1j̊# {GOLD: #murˈi#}
382    | #mˈortem# | *#mˈorte# | *#mo̯ˈaɾte# | *#mo̯ˈarte# {GOLD: #mo̯ˈarte#}
383    | #mˈortuum# | *#mˈortu# | *#mˈoɾtu# | *#mˈort# {GOLD: #mˈort#}
384    | #nˈae̯wus# | *#nˈae̯u# | *#nˈae̯u# | *#nˈae̯# {GOLD: #nˈeɡ#}
385    | #ˌokkˈiːde# | *#ot͡ʃˈide# | *#ut͡ʃˈide# | *#ut͡ʃˈide# {GOLD: #ut͡ʃˈide#}
386    | #pˌerˈiː# | *#perˈi# | *#pe?0ˈi# | *#pe?1j̊# {GOLD: #pjerˈi#}
387    | #pˌetˈiːɡinem# | *#petˈid͡ʒene# | *#pet͡sˈid͡ʒene# | *#pet͡sˈid͡ʒine# {GOLD: #pet͡ʃˈind͡ʒine#}
388    | #puːrˈoːnium# | *#purˈond͡ʒu# | *#puɾˈond͡ʒu# | *#purˈonʒ# {GOLD: #purˈoj#}
389    | #pustulˈellam# | *#pustulˈɛlla# | *#pustu?0e̯ˈawə# | *#pustu?1e̯ˈawə# {GOLD: #puʃke̯ˈa#}
390    | #rˌepˈoːne# | *#repˈone# | *#rrepˈune# | *#rəpˈune# {GOLD: #rəpˈune#}
391    | #tˌussˈiː# | *#tusˈi# | *#tuʃˈi# | *#tuʃj̊# {GOLD: #tuʃˈi#}
392    | #tˈussis# | *#tˈusi# | *#tˈuʃi# | *#tˈuʃj̊# {GOLD: #tˈuse#}
393    | #mˈankus# | *#mˈanku# | *#mˈanku# | *#mˈank# {GOLD: #mˈɨnk#}
394    | #mˈuːtum# | *#mˈutu# | *#mˈutu# | *#mˈut# {GOLD: #mˈut#}
395    | #ˈorbum# | *#ˈorbu# | *#ˈoɾbu# | *#ˈorb# {GOLD: #ˈorb#}
396    | #eksklˈoppum# | *#sklˈopu# | *#skʎˈopu# | *#skjˈop# {GOLD: #ʃkjˈop#}
397    | #ekskloppˈaː# | *#sklopˈa# | *#skʎupˈa# | *#skjupˈa# {GOLD: #ʃkjopˈa#}
398    | #sˈurdum# | *#sˈurdu# | *#sˈuɾdu# | *#sˈurd# {GOLD: #sˈurd#}
399    | #brˈakae̯# | *#brˈakae̯# | *#bɾˈakəe̯# | *#brˈakəe̯# {GOLD: #brˈat͡ʃe#}
400    | #kamˈisiam# | *#kamˈesd͡ʒa# | *#kəme̯ˈasd͡ʒə# | *#kəmˈasd͡ʒə# {GOLD: #kəmˈaʃə#}
401    | #lˈiːneam# | *#lˈind͡ʒa# | *#ʎˈind͡ʒə# | *#ˈind͡ʒə# {GOLD: #ˈije#}
402    | #mˈanika# | *#mˈaneka# | *#mˈənekə# | *#mˈɨnekə# {GOLD: #mˈɨnekə#}
403    | #palliˈoːla# | *#palld͡ʒˈola# | *#pəld͡ʒo̯ˈaɾə# | *#pəlʒo̯ˈarə# {GOLD: #pəjo̯ˈarə#}
404    | #sˈarikam# | *#sˈareka# | *#sˈaɾekə# | *#sˈarekə# {GOLD: #sˈarikə#}
405    | #westiːmˈentum# | *#vstimˈɛntu# | *#vstemˈentu# | *#vstimˈɨnt# {GOLD: #veʃmˈɨnt#}
406    | #kalkeamˈentum# | *#kald͡ʒamˈɛntu# | *#kəld͡ʒəmˈentu# | *#kəld͡ʒəmˈɨnt# {GOLD: #kəlt͡səmˈɨnt#}
